CustomerKey,TotalSpent,AvgTransactionValue,TransactionCount,TotalQuantity,UniqueInvoices,ProductDiversity,Country,MonthSpread,WeekendPreference,AvgPricePreference,Country_encoded,CustomerValueCategory
1,667.06,222.35,3,56,2,2,Spain,2,0.0,14.753,13,Low
2,3104.11,310.41,10,280,6,6,United Kingdom,4,0.7,12.456,15,High
3,5540.14,346.26,16,465,3,7,Lithuania,3,0.375,11.682,8,High
4,2371.21,237.12,10,237,6,4,Belgium,5,0.0,10.389,1,Medium
5,1153.4,288.35,4,83,4,3,Poland,3,0.25,14.598,11,Low
6,527.18,263.59,2,72,2,2,Italy,2,0.0,7.39,6,Low
7,1158.36,144.79,8,139,3,5,Norway,2,0.625,9.848,10,Low
8,6393.14,376.07,17,441,5,7,Portugal,4,0.0,13.662,12,High
9,2058.35,294.05,7,177,3,3,Lithuania,3,0.143,13.097,8,Medium
10,895.66,298.55,3,93,3,3,Netherlands,3,0.667,11.293,9,Low
11,23.87,23.87,1,1,1,1,Lithuania,1,0.0,23.87,8,Low
12,1478.43,211.2,7,135,5,4,Norway,3,0.429,11.64,10,Medium
13,3004.3,375.54,8,282,2,5,Switzerland,2,0.25,10.62,14,High
14,5289.58,406.89,13,395,5,7,France,4,0.692,13.645,3,High
15,2997.61,374.7,8,189,5,5,Portugal,4,0.5,15.605,12,High
16,2031.73,507.93,4,111,2,3,Norway,2,0.5,16.242,10,Medium
17,393.28,393.28,1,32,1,1,Switzerland,1,0.0,12.29,14,Low
18,2457.24,614.31,4,138,2,3,Belgium,2,0.0,18.585,1,Medium
19,1679.59,559.86,3,78,3,3,France,3,1.0,18.837,3,Medium
20,1449.58,241.6,6,139,5,4,Australia,5,0.333,11.635,0,Medium
21,2997.61,374.7,8,189,5,5,Netherlands,4,0.5,15.605,9,High
22,119.99,40.0,3,31,2,3,Portugal,2,0.667,6.13,12,Low
23,560.07,140.02,4,65,2,3,EIRE,2,0.0,13.43,2,Low
24,5141.08,367.22,14,377,6,6,Netherlands,4,0.0,13.02,9,High
25,3412.79,341.28,10,329,5,5,Poland,3,0.0,11.175,11,High
26,3378.52,422.32,8,219,4,4,Lithuania,4,0.0,14.851,8,High
27,3267.78,363.09,9,227,5,5,Germany,5,0.0,14.096,4,High
28,692.9,230.97,3,75,2,3,EIRE,2,0.333,12.737,2,Low
29,3318.48,331.85,10,299,4,4,United Kingdom,3,0.2,9.841,15,High
30,1153.4,288.35,4,83,4,3,Spain,3,0.25,14.598,13,Low
31,3094.44,442.06,7,166,3,4,United Kingdom,3,0.0,16.704,15,High
32,4652.44,387.7,12,297,4,5,Lithuania,3,0.0,16.837,8,High
33,718.54,143.71,5,155,2,4,Netherlands,2,0.6,5.054,9,Low
34,2746.27,392.32,7,181,2,6,Norway,2,0.857,16.099,10,High
35,2589.88,517.98,5,175,4,5,Lithuania,3,0.0,14.962,8,High
36,1703.75,340.75,5,108,2,3,Lithuania,2,1.0,13.394,8,Medium
