SalesKey,InvoiceNo,CustomerKey,ProductKey,TimeKey,Quantity,UnitPrice,TotalSales,CustomerID,Country,StockCode,ProductDescription,Category,Date,Year,Month,Day,Quarter,DayOfWeek,MonthName,DayName,PriceCategory,QuantityCategory,SalesCategory,IsWeekend,Season,TotalSpent,AvgTransactionValue,TransactionCount,TotalQuantity,UniqueInvoices,ProductTotalSales,ProductTotalQuantity,ProductCustomerCount
1,536366,1,1,1,9,18.54,166.85999999999999,12352,Spain,GA39256,Garden Brother Ago,GA,2023-09-06,2023,9,6,3,3,September,Wednesday,High,Medium,Medium,0,Autumn,667.06,222.35,3,56,2,333.72,18,2
2,536366,254,1,1,9,18.54,166.85999999999999,12352,EIRE,GA39256,Garden Brother Ago,GA,2023-09-06,2023,9,6,3,3,September,Wednesday,High,Medium,Medium,0,Autumn,667.06,222.35,3,56,2,333.72,18,2
3,536366,1,2,1,28,1.28,35.84,12352,Spain,HO87397,Home Site Face,HO,2023-09-06,2023,9,6,3,3,September,Wednesday,Low,Large,Low,0,Autumn,667.06,222.35,3,56,2,71.68,56,2
4,536366,254,2,1,28,1.28,35.84,12352,EIRE,HO87397,Home Site Face,HO,2023-09-06,2023,9,6,3,3,September,Wednesday,Low,Large,Low,0,Autumn,667.06,222.35,3,56,2,71.68,56,2
5,536367,2,3,2,46,16.42,755.32,12475,United Kingdom,KI36062,Kitchen Dog Chair,KI,2023-04-06,2023,4,6,2,4,April,Thursday,High,Large,Premium,0,Spring,3104.11,310.41,10,280,6,3776.6,230,5
6,536367,49,3,2,46,16.42,755.32,12475,Portugal,KI36062,Kitchen Dog Chair,KI,2023-04-06,2023,4,6,2,4,April,Thursday,High,Large,Premium,0,Spring,3104.11,310.41,10,280,6,3776.6,230,5
7,536367,152,3,2,46,16.42,755.32,12475,Japan,KI36062,Kitchen Dog Chair,KI,2023-04-06,2023,4,6,2,4,April,Thursday,High,Large,Premium,0,Spring,3104.11,310.41,10,280,6,3776.6,230,5
8,536367,267,3,2,46,16.42,755.32,12475,Belgium,KI36062,Kitchen Dog Chair,KI,2023-04-06,2023,4,6,2,4,April,Thursday,High,Large,Premium,0,Spring,3104.11,310.41,10,280,6,3776.6,230,5
9,536367,271,3,2,46,16.42,755.32,12475,Poland,KI36062,Kitchen Dog Chair,KI,2023-04-06,2023,4,6,2,4,April,Thursday,High,Large,Premium,0,Spring,3104.11,310.41,10,280,6,3776.6,230,5
10,C536367,2,4,2,-18,20.33,-365.93999999999994,12475,United Kingdom,OF87236,Office Since Blue,OF,2023-04-06,2023,4,6,2,4,April,Thursday,High,,,0,Spring,3104.11,310.41,10,280,6,-1829.7,-90,5
11,C536367,49,4,2,-18,20.33,-365.93999999999994,12475,Portugal,OF87236,Office Since Blue,OF,2023-04-06,2023,4,6,2,4,April,Thursday,High,,,0,Spring,3104.11,310.41,10,280,6,-1829.7,-90,5
12,C536367,152,4,2,-18,20.33,-365.93999999999994,12475,Japan,OF87236,Office Since Blue,OF,2023-04-06,2023,4,6,2,4,April,Thursday,High,,,0,Spring,3104.11,310.41,10,280,6,-1829.7,-90,5
13,C536367,267,4,2,-18,20.33,-365.93999999999994,12475,Belgium,OF87236,Office Since Blue,OF,2023-04-06,2023,4,6,2,4,April,Thursday,High,,,0,Spring,3104.11,310.41,10,280,6,-1829.7,-90,5
14,C536367,271,4,2,-18,20.33,-365.93999999999994,12475,Poland,OF87236,Office Since Blue,OF,2023-04-06,2023,4,6,2,4,April,Thursday,High,,,0,Spring,3104.11,310.41,10,280,6,-1829.7,-90,5
15,536368,3,5,3,10,5.78,57.800000000000004,12524,Lithuania,GI46421,Gift Sit Wait,GI,2023-09-20,2023,9,20,3,3,September,Wednesday,Medium,Medium,Medium,0,Autumn,5540.14,346.26,16,465,3,115.6,20,2
16,536368,373,5,3,10,5.78,57.800000000000004,12524,Switzerland,GI46421,Gift Sit Wait,GI,2023-09-20,2023,9,20,3,3,September,Wednesday,Medium,Medium,Medium,0,Autumn,5540.14,346.26,16,465,3,115.6,20,2
17,536369,4,6,4,23,15.29,351.66999999999996,12369,Belgium,HO57052,Home Begin Performance,HO,2023-07-31,2023,7,31,3,1,July,Monday,High,Large,High,0,Summer,2371.21,237.12,10,237,6,2110.02,138,6
18,536369,106,6,4,23,15.29,351.66999999999996,12369,Lithuania,HO57052,Home Begin Performance,HO,2023-07-31,2023,7,31,3,1,July,Monday,High,Large,High,0,Summer,2371.21,237.12,10,237,6,2110.02,138,6
19,536369,184,6,4,23,15.29,351.66999999999996,12369,United Kingdom,HO57052,Home Begin Performance,HO,2023-07-31,2023,7,31,3,1,July,Monday,High,Large,High,0,Summer,2371.21,237.12,10,237,6,2110.02,138,6
20,536369,233,6,4,23,15.29,351.66999999999996,12369,Norway,HO57052,Home Begin Performance,HO,2023-07-31,2023,7,31,3,1,July,Monday,High,Large,High,0,Summer,2371.21,237.12,10,237,6,2110.02,138,6
21,536369,238,6,4,23,15.29,351.66999999999996,12369,Portugal,HO57052,Home Begin Performance,HO,2023-07-31,2023,7,31,3,1,July,Monday,High,Large,High,0,Summer,2371.21,237.12,10,237,6,2110.02,138,6
22,536369,403,6,4,23,15.29,351.66999999999996,12369,Japan,HO57052,Home Begin Performance,HO,2023-07-31,2023,7,31,3,1,July,Monday,High,Large,High,0,Summer,2371.21,237.12,10,237,6,2110.02,138,6
23,536369,4,7,4,25,2.43,60.75000000000001,12369,Belgium,KI26361,Kitchen Knowledge Almost,KI,2023-07-31,2023,7,31,3,1,July,Monday,Low,Large,Medium,0,Summer,2371.21,237.12,10,237,6,364.5,150,6
24,536369,106,7,4,25,2.43,60.75000000000001,12369,Lithuania,KI26361,Kitchen Knowledge Almost,KI,2023-07-31,2023,7,31,3,1,July,Monday,Low,Large,Medium,0,Summer,2371.21,237.12,10,237,6,364.5,150,6
